name,description,rating,price,,availability,product_url,listing_page_url
Asian Sound Chin. Opera Gong Lower Tone,"Septembrie 2009 / 236040 / 1 bucată(ăţi) / 8""",4.8 din 5 stele din 19 evaluări ale clienților,219.00,219.00,în stoc,https://www.thomann.de/ro/asian_sound_chin_opera_gong_lower_tone.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 120,"Aprilie 2010 / 238790 / 1 bucată(ăţi) / 48""",5.0 din 5 stele din 4 evaluări ale clienților,8666.00,8666.00,Disponibil in 2-3 Saptamani,https://www.thomann.de/ro/thomann_wind_gong_120.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 30,"Aprilie 2010 / 238709 / 1 bucată(ăţi) / 12"" / Chinese / Thomann",4.4 din 5 stele din 16 evaluări ale clienților,333.00,333.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_30.htm?type=category,https://www.thomann.de/ro/gonguri.html
"Thomann Tam Gong 28"" Flower of Life","Martie 2023 / 552864 / 1 bucată(ăţi) / German / Thomann / 28""",,2269.00,2269.00,în stoc,https://www.thomann.de/ro/thomann_tam_gong_28_flower_of_life.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 40,"Aprilie 2010 / 238713 / 1 bucată(ăţi) / 16"" / Chinese / Thomann",5.0 din 5 stele din 9 evaluări ale clienților,599.00,599.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_40.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 55,"Aprilie 2010 / 238716 / 1 bucată(ăţi) / 22"" / Chinese / Thomann",4.6 din 5 stele din 23 evaluări ale clienților,1274.00,1274.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_55.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 15,"Aprilie 2010 / 238771 / 1 bucată(ăţi) / 6""",4.4 din 5 stele din 43 evaluări ale clienților,111.00,111.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_15.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 65,"Aprilie 2010 / 238783 / 1 bucată(ăţi) / 26""",4.9 din 5 stele din 39 evaluări ale clienților,2035.00,2035.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_65.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 110,"Aprilie 2010 / 238747 / 1 bucată(ăţi) / 44"" / Chinese / Thomann",4.7 din 5 stele din 6 evaluări ale clienților,8099.00,8099.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_110.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 65,"Aprilie 2010 / 238718 / 1 bucată(ăţi) / 26"" / Chinese / Thomann",4.5 din 5 stele din 14 evaluări ale clienților,1939.00,1939.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_65.htm?type=category,https://www.thomann.de/ro/gonguri.html
"Thomann Tam Gong 28"" Tree of Life","Martie 2023 / 552844 / 1 bucată(ăţi) / German / Thomann / 28""",5.0 din 5 stele din 1 evaluări ale clienților,2269.00,2269.00,în stoc,https://www.thomann.de/ro/thomann_tam_gong_28_tree_of_life.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 18,"Aprilie 2010 / 238707 / 1 bucată(ăţi) / 7,2"" / Chinese / Thomann",4.2 din 5 stele din 13 evaluări ale clienților,178.00,178.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_18.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 85,"Aprilie 2010 / 238725 / 1 bucată(ăţi) / 34"" / Chinese / Thomann",4.7 din 5 stele din 19 evaluări ale clienților,"4,09",4090.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_85.htm?type=category,https://www.thomann.de/ro/gonguri.html
"Thomann Tam Gong 52"" ES","Martie 2023 / 552389 / 1 bucată(ăţi) / 52"" / German / Thomann",,11333.00,11333.00,în stoc,https://www.thomann.de/ro/thomann_tam_gong_52_es.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 40,"Aprilie 2010 / 238776 / 1 bucată(ăţi) / 16""",4.8 din 5 stele din 17 evaluări ale clienților,455.00,455.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_40.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 20,"Aprilie 2010 / 238772 / 1 bucată(ăţi) / 8""",4.5 din 5 stele din 52 evaluări ale clienților,148.00,148.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_20.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 70,"Aprilie 2010 / 238784 / 1 bucată(ăţi) / 28""",4.7 din 5 stele din 18 evaluări ale clienților,2144.00,2144.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_70.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 125,"Octombrie 2010 / 238754 / 1 bucată(ăţi) / 50"" / Chinese / Thomann",5.0 din 5 stele din 2 evaluări ale clienților,11222.00,11222.00,Disponibil în câteva luni,https://www.thomann.de/ro/thomann_wuhan_tam_tam_125.htm?type=category,https://www.thomann.de/ro/gonguri.html
"Thomann Tam Gong 32"" Flower of Life","Martie 2023 / 552867 / 1 bucată(ăţi) / German / Thomann / 32""",,2699.00,2699.00,în stoc,https://www.thomann.de/ro/thomann_tam_gong_32_flower_of_life.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 105,"Aprilie 2010 / 238741 / 1 bucată(ăţi) / 42"" / Chinese / Thomann",4.9 din 5 stele din 9 evaluări ale clienților,6099.00,6099.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_105.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 115,"Octombrie 2010 / 238749 / 1 bucată(ăţi) / 46"" / Chinese / Thomann",5.0 din 5 stele din 2 evaluări ale clienților,8099.00,8099.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_115.htm?type=category,https://www.thomann.de/ro/gonguri.html
"Paiste 32"" Symphonic Gong","Octombrie 2007 / 119161 / 1 bucată(ăţi) / 32"" / German / Paiste",5.0 din 5 stele din 35 evaluări ale clienților,8699.00,8699.00,Disponibil în câteva luni,https://www.thomann.de/ro/paiste_32_symphonic_gong.htm?type=category,https://www.thomann.de/ro/gonguri.html
"Thomann Tam Gong 32"" Tree of Life",Martie 2023 / 552856 / 1 bucată(ăţi),5.0 din 5 stele din 3 evaluări ale clienților,2699.00,2699.00,în stoc,https://www.thomann.de/ro/thomann_tam_gong_32_tree_of_life.htm?type=category,https://www.thomann.de/ro/gonguri.html
"Paiste 40"" Symphonic Gong","Aprilie 2006 / 191326 / 1 bucată(ăţi) / 40"" / German / Paiste",,"22,19",22190.00,în stoc,https://www.thomann.de/ro/paiste_40_symphonic_gong.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 110,"Aprilie 2010 / 238789 / 1 bucată(ăţi) / 44""",5.0 din 5 stele din 6 evaluări ale clienților,6599.00,6599.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_110.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 100,"Aprilie 2010 / 238788 / 1 bucată(ăţi) / 40""",4.9 din 5 stele din 16 evaluări ale clienților,5666.00,5666.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_100.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 60,"Aprilie 2010 / 238782 / 1 bucată(ăţi) / 24""",4.9 din 5 stele din 46 evaluări ale clienților,1222.00,1222.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_60.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 70,"Aprilie 2010 / 238719 / 1 bucată(ăţi) / 28"" / Chinese / Thomann",4.8 din 5 stele din 13 evaluări ale clienților,2499.00,2499.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_70.htm?type=category,https://www.thomann.de/ro/gonguri.html
"Oetken Gongs 32"" Metatron Gong","Decembrie 2022 / 544744 / 1 bucată(ăţi) / German / Oetken Gongs / 32""",5.0 din 5 stele din 5 evaluări ale clienților,9799.00,9799.00,în stoc,https://www.thomann.de/ro/oetken_gongs_32_metatron_gong.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 50,"Aprilie 2010 / 238715 / 1 bucată(ăţi) / 20"" / Chinese / Thomann",4.6 din 5 stele din 21 evaluări ale clienților,915.00,915.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_50.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 55,"Aprilie 2010 / 238781 / 1 bucată(ăţi) / 22""",4.7 din 5 stele din 49 evaluări ale clienților,811.00,811.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_55.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 75,"Aprilie 2010 / 238785 / 1 bucată(ăţi) / 30""",4.7 din 5 stele din 26 evaluări ale clienților,2555.00,2555.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_75.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 90,"Aprilie 2010 / 238787 / 1 bucată(ăţi) / 36""",4.9 din 5 stele din 15 evaluări ale clienților,"4,09",4090.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_90.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 75,"Aprilie 2010 / 238721 / 1 bucată(ăţi) / 30"" / Chinese / Thomann",4.6 din 5 stele din 21 evaluări ale clienților,2839.00,2839.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_75.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 100,"Aprilie 2010 / 238731 / 1 bucată(ăţi) / 40"" / Chinese / Thomann",4.8 din 5 stele din 16 evaluări ale clienților,5666.00,5666.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_100.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 45,"Aprilie 2010 / 238714 / 1 bucată(ăţi) / 18"" / Chinese / Thomann",4.6 din 5 stele din 16 evaluări ale clienților,711.00,711.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_45.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 35,"Aprilie 2010 / 238775 / 1 bucată(ăţi) / 14""",4.8 din 5 stele din 67 evaluări ale clienților,349.00,349.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_35.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 50,"Aprilie 2010 / 238780 / 1 bucată(ăţi) / 20""",4.7 din 5 stele din 55 evaluări ale clienților,711.00,711.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_50.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 30,"Aprilie 2010 / 238774 / 1 bucată(ăţi) / 12""",4.8 din 5 stele din 108 evaluări ale clienților,249.00,249.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_30.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 25,"Aprilie 2010 / 238708 / 1 bucată(ăţi) / 10"" / Chinese / Thomann",4.6 din 5 stele din 27 evaluări ale clienților,229.00,229.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_25.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 45,"Aprilie 2010 / 238778 / 1 bucată(ăţi) / 18""",4.8 din 5 stele din 85 evaluări ale clienților,568.00,568.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_45.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wind Gong 80,"Aprilie 2010 / 238786 / 1 bucată(ăţi) / 32""",4.8 din 5 stele din 30 evaluări ale clienților,2839.00,2839.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_80.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 60,"Aprilie 2010 / 238717 / 1 bucată(ăţi) / 24"" / Chinese / Thomann",4.9 din 5 stele din 17 evaluări ale clienților,1525.00,1525.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_60.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 80,"Aprilie 2010 / 238723 / 1 bucată(ăţi) / 32"" / Chinese / Thomann",4.8 din 5 stele din 36 evaluări ale clienților,3399.00,3399.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_80.htm?type=category,https://www.thomann.de/ro/gonguri.html
Thomann Wuhan Tam Tam 90,"Aprilie 2010 / 238727 / 1 bucată(ăţi) / 36"" / Chinese / Thomann",4.8 din 5 stele din 36 evaluări ale clienților,4499.00,4499.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_90.htm?type=category,https://www.thomann.de/ro/gonguri.html
Meinl Ajuch Bells Small,Mai 2020 / 483058 / 1 bucată(ăţi) / Jingles / Shells,4.0 din 5 stele din 2 evaluări ale clienților,329.00,329.00,în stoc,https://www.thomann.de/ro/meinl_ajuch_bells_small.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Baldman Percussion The Jellyfish,Aprilie 2023 / 562189 / 1 bucată(ăţi) / Cymbal Chain,4.0 din 5 stele din 1 evaluări ale clienților,111.00,111.00,în stoc,https://www.thomann.de/ro/baldman_percussion_the_jellyfish.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Meinl Heavy Cymbal Bacon,Martie 2022 / 533416 / 1 bucată(ăţi) / Cymbal Chain,4.5 din 5 stele din 15 evaluări ale clienților,52.00,52.00,în stoc,https://www.thomann.de/ro/meinl_heavy_cymbal_bacon.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
No Nuts Sizzlenut Cymbal Chain,Februarie 2022 / 536692 / 1 bucată(ăţi) / Cymbal Chain,5.0 din 5 stele din 5 evaluări ale clienților,76.00,76.00,în stoc,https://www.thomann.de/ro/no_nuts_sizzlenut_cymbal_chain.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Oruga Ring-O Rivets,Decembrie 2022 / 556885 / 1 bucată(ăţi) / Nut,4.0 din 5 stele din 1 evaluări ale clienților,138.00,138.00,în stoc,https://www.thomann.de/ro/oruga_ring_o_rivets.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Oruga Ring-O Steel Rings,Decembrie 2022 / 556889 / 1 bucată(ăţi) / Shells,3.0 din 5 stele din 2 evaluări ale clienților,138.00,138.00,în stoc,https://www.thomann.de/ro/oruga_ring_o_steel_rings.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Oruga Sizzler.O Rivets,Decembrie 2022 / 556853 / 1 bucată(ăţi) / Nut,3.7 din 5 stele din 3 evaluări ale clienților,96.00,96.00,în stoc,https://www.thomann.de/ro/oruga_sizzler.o_rivets.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Sabian O-Zone Chain,Iulie 2025 / 618659 / 1 bucată(ăţi) / Cymbal Chain,,193.00,193.00,Disponibil in în aproximativ o săptămână,https://www.thomann.de/ro/sabian_o_zone_chain.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Meinl Ajuch Bells Large,Mai 2020 / 483061 / 1 bucată(ăţi) / Jingles / Shells,5.0 din 5 stele din 6 evaluări ale clienților,329.00,329.00,în stoc,https://www.thomann.de/ro/meinl_ajuch_bells_large.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Meinl Ajuch Bells Medium,Mai 2020 / 483060 / 1 bucată(ăţi) / Jingles / Shells,4.7 din 5 stele din 15 evaluări ale clienților,329.00,329.00,în stoc,https://www.thomann.de/ro/meinl_ajuch_bells_medium.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Meinl Sizzle Rivets Brass Plated,Februarie 2021 / 510275 / 1 bucată(ăţi) / Nut,4.8 din 5 stele din 28 evaluări ale clienților,"19,50",19500.00,în stoc,https://www.thomann.de/ro/meinl_sizzle_rivets_brass_plated.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Meinl Cymbal Bacon,Ianuarie 2016 / 379331 / 1 bucată(ăţi) / Cymbal Chain,4.6 din 5 stele din 265 evaluări ale clienților,52.00,52.00,în stoc,https://www.thomann.de/ro/meinl_cymbal_bacon.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
Evans Cymbal Chain Sizzler,Noiembrie 2024 / 603714 / 1 bucată(ăţi) / Cymbal Chain,4.5 din 5 stele din 2 evaluări ale clienților,129.00,129.00,în stoc,https://www.thomann.de/ro/evans_cymbal_chain_sizzler.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
"Tama PBB146 14"" Bell Brass Snare","Octombrie 2017 / 424002 / 1 bucată(ăţi) / Yes / No / 14"" / 6""",5.0 din 5 stele din 2 evaluări ale clienților,11222.00,11222.00,în stoc,https://www.thomann.de/ro/tama_pbb146_14_bell_brass_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Ludwig 14""x05"" LB550T Bronze Phonic","Noiembrie 2023 / 579017 / 1 bucată(ăţi) / No / No / 14"" / 5""",,5799.00,5799.00,în stoc,https://www.thomann.de/ro/ludwig_14x05_lb550t_bronze_phonic.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Ludwig 14""x05"" LB550R Bronze Phonic","Noiembrie 2023 / 579007 / 1 bucată(ăţi) / No / No / 14"" / 5""",,5599.00,5599.00,la cerere,https://www.thomann.de/ro/ludwig_14x05_lb550r_bronze_phonic.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Ludwig 14""x05"" LB550 Bronze Phonic","Noiembrie 2023 / 578950 / 1 bucată(ăţi) / No / No / 14"" / 5""",,5399.00,5399.00,în stoc,https://www.thomann.de/ro/ludwig_14x05_lb550_bronze_phonic.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Gretsch Drums 14""x6,5"" USA Phosphor Bronze","Februarie 2019 / 458603 / 1 bucată(ăţi) / Yes / No / 14"" / 6,5""",4.0 din 5 stele din 4 evaluări ale clienților,"11,69",11690.00,în stoc,https://www.thomann.de/ro/gretsch_14_x65_usa_phosphor_bronze.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Ludwig 14""x6,5"" LB552R Bronze Phonic","Noiembrie 2023 / 579011 / 1 bucată(ăţi) / No / No / 14"" / 6,5""",5.0 din 5 stele din 1 evaluări ale clienților,5333.00,5333.00,Disponibil in 12-15 Saptamani,https://www.thomann.de/ro/ludwig_14x65_lb552r_bronze_phonic.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Ludwig 14""x6,5"" LB552RT Bronze Phonic","Noiembrie 2023 / 579022 / 1 bucată(ăţi) / No / No / 14"" / 6,5""",,6099.00,6099.00,la cerere,https://www.thomann.de/ro/ludwig_14x65_lb552rt_bronze_phonic.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Ludwig 14""x05"" LB550RT Bronze Phonic","Noiembrie 2023 / 579020 / 1 bucată(ăţi) / No / No / 14"" / 5""",,5666.00,5666.00,la cerere,https://www.thomann.de/ro/ludwig_14x05_lb550rt_bronze_phonic.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"DW 14""x6,5"" Brushed Bronze Snare","Aprilie 2023 / 564919 / 1 bucată(ăţi) / No / No / 14"" / 6,5""",5.0 din 5 stele din 1 evaluări ale clienților,6099.00,6099.00,Disponibil în câteva luni,https://www.thomann.de/ro/dw_14_x65_brushed_bronze_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"DW 14""x5,5"" Brushed Bronze Snare","Aprilie 2023 / 564916 / 1 bucată(ăţi) / No / No / 14"" / 5,5""",,6099.00,6099.00,Disponibil în timp scurt (de obicei 2-5 zile),https://www.thomann.de/ro/dw_14_x55_brushed_bronze_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Ludwig 14""x6,5"" LB552 Bronze Phonic","Noiembrie 2023 / 579010 / 1 bucată(ăţi) / No / No / 14"" / 6,5""",5.0 din 5 stele din 1 evaluări ale clienților,5099.00,5099.00,la cerere,https://www.thomann.de/ro/ludwig_14x65_lb552_bronze_phonic.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Pearl 14""x6,5"" Free Floating Bronze","Mai 2014 / 337479 / 1 bucată(ăţi) / Yes / No / 14"" / 6,5""",5.0 din 5 stele din 4 evaluări ale clienților,5599.00,5599.00,la cerere,https://www.thomann.de/ro/pearl_14x65_free_floating_bronze.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"DW PDP 14""x6,5"" Concept Bronze","Decembrie 2020 / 506577 / 1 bucată(ăţi) / No / No / 14"" / 6,5""",,5799.00,5799.00,la cerere,https://www.thomann.de/ro/dw_pdp_14_x65_concept_bronze.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Tama 14""x6,5"" The Bell Brass Snare","Mai 2024 / 580815 / 1 bucată(ăţi) / Yes / No / 14"" / 6,5""",5.0 din 5 stele din 1 evaluări ale clienților,"19,09",19090.00,în stoc,https://www.thomann.de/ro/tama_14_x65_the_bell_brass_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Gretsch Drums 14""x05"" USA Bronze Snare Drum","Octombrie 2016 / 400729 / 1 bucată(ăţi) / Yes / No / 14"" / 5""",4.8 din 5 stele din 6 evaluări ale clienților,"4,09",4090.00,în stoc,https://www.thomann.de/ro/gretsch_14_x05_usa_bronze_snare_drum.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Gretsch Drums 14""x6,5"" USA Bronze Snare Drum","Octombrie 2016 / 400725 / 1 bucată(ăţi) / Yes / No / 14"" / 6,5""",4.8 din 5 stele din 8 evaluări ale clienților,4399.00,4399.00,în stoc,https://www.thomann.de/ro/gretsch_14_x65_usa_bronze_snare_drum.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
Sonor AS 12 1406 BRB Artist Snare,"Iulie 2002 / 153728 / 1 bucată(ăţi) / Yes / No / 14"" / 6""",5.0 din 5 stele din 6 evaluări ale clienților,"14,79",14790.00,Disponibil în timp scurt (de obicei 2-5 zile),https://www.thomann.de/ro/sonor_as_07_1406_brb_artist_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"DrumCraft 14""x6,5 Bell Brass Snare","Septembrie 2024 / 581712 / 1 bucată(ăţi) / No / No / 14"" / 6,5""",5.0 din 5 stele din 5 evaluări ale clienților,4499.00,4499.00,în stoc,https://www.thomann.de/ro/drumcraft_14_x65_bell_brass_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"Sonor SSD 13""x5,75"" Brass BG B-Stock",Ianuarie 2020 / 506406 / 1 bucată(ăţi) / No / No / Brass / Metall / Brass / Chrome / Benny Greb,,"4,19",4190.00,în stoc,https://www.thomann.de/ro/sonor_ssd_13x575_brass_bg_b_stock.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
Tama SP1465H Simon Phillips Model,"Februarie 2007 / 110310 / 1 bucată(ăţi) / Gray / No / No / Lacquer, High glossy / Maple, Bubinga / No / Chrome, Satin / Simon Phillips",5.0 din 5 stele din 2 evaluări ale clienților,4799.00,4799.00,la cerere,https://www.thomann.de/ro/tama_sp1465h_simon_phillips_model.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
"Dixon 14""x08"" Gregg Bissonette Sig.","Octombrie 2024 / 602758 / 1 bucată(ăţi) / Natural / No / No / Lacquer, matt / Walnut / No / Chrome / Gregg Bissonette",,3499.00,3499.00,în stoc,https://www.thomann.de/ro/dixon_14x08_gregg_bissonette_sig.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
"Gretsch Drums 12""x07"" Ash Soan Snare Drum","Ianuarie 2023 / 535204 / 1 bucată(ăţi) / Red / No / No / Lacquer, High glossy / Purpleheart / Yes / Chrome / Ash Soan",5.0 din 5 stele din 1 evaluări ale clienților,5599.00,5599.00,în stoc,https://www.thomann.de/ro/gretsch_drums_12_x07_ash_soan_snare_drum.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
"Pearl 14""x5,5"" Brian Frasier Moore","Mai 2020 / 492757 / 1 bucată(ăţi) / Brown / No / No / Lacquer, High glossy / Maple, Eucalyptus / Yes / Chrome / Brian Frasier Moore",,5666.00,5666.00,la cerere,https://www.thomann.de/ro/pearl_14_x55_brian_frasier_moore.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
"Tama MP1455ST 14x5,5"" Mike Portnoy","Februarie 2013 / 306982 / 1 bucată(ăţi) / 5,5"" / Yes / Yes / Black / Metall / Steel / Chrome / Mike Portnoy",5.0 din 5 stele din 4 evaluări ale clienților,2699.00,2699.00,în stoc,https://www.thomann.de/ro/tama_mp1455st_14x55_mike_portnoy.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
"Sonor 12""x05"" Signature G. Harrison","Februarie 2013 / 305864 / 1 bucată(ăţi) / 5"" / Black / No / No / Lacquer, High glossy / Birch / No / Chrome / Gavin Harrison",5.0 din 5 stele din 3 evaluări ale clienților,3899.00,3899.00,în stoc,https://www.thomann.de/ro/sonor_12x05_signature_g_harrison.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
Gretsch Drums Gergo Borlai Signature Snare,August 2021 / 513510 / 1 bucată(ăţi) / Brass / No / No / Sandblasted / Brass / Yes / Chrome / Gergo Borlai,5.0 din 5 stele din 1 evaluări ale clienților,4799.00,4799.00,în stoc,https://www.thomann.de/ro/gretsch_drums_gergo_borlai_signature_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
Tama CB1465 Charlie Benante Snare,Martie 2015 / 360843 / 1 bucată(ăţi) / Silver / No / No / Metall / Stainless Steel / Yes / Black Nickel / Charlie Benante,5.0 din 5 stele din 4 evaluări ale clienților,2699.00,2699.00,în stoc,https://www.thomann.de/ro/tama_cb1465_charlie_benante_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
Pearl OH1350 Snare Drum,"Aprilie 2001 / 147571 / 1 bucată(ăţi) / Brown / No / No / Lacquer, High glossy / Mahogany / No / Chrome / Omar Hakim",4.9 din 5 stele din 12 evaluări ale clienților,3399.00,3399.00,Disponibilitate medie (aprox. 1-2 săptămâni),https://www.thomann.de/ro/pearl_oh1350_omar_hakim_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
"Sonor 14""x5,25"" Signature G.Harrison","Mai 2013 / 305870 / 1 bucată(ăţi) / 5,25"" / Black / No / No / Lacquer, High Gloss / Birch / No / Chrome / Birch / Gavin Harrison",4.7 din 5 stele din 12 evaluări ale clienților,5333.00,5333.00,în stoc,https://www.thomann.de/ro/sonor_14x525_signature_gharrison.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
